bike;car;pt;ride;walk
118.0;30.0;9.0;0.0;15.0
28.0;572.0;57.0;0.0;6.0
9.0;37.0;134.0;0.0;1.0
0.0;0.0;0.0;311.0;0.0
30.0;12.0;4.0;0.0;93.0
