star facility; end facility; occurrences
tramFacility_7;tramFacility_4;77
tramFacility_7;tramFacility_5;4
tramFacility_6;tramFacility_4;9
tramFacility_5;tramFacility_4;14
tramFacility_6;tramFacility_5;1
tramFacility_6;tramFacility_7;1
tramFacility_4;tramFacility_5;14
tramFacility_5;tramFacility_7;11
tramFacility_4;tramFacility_6;15
tramFacility_4;tramFacility_7;60
