bike;car;pt;ride;walk
87.0;30.0;8.0;0.0;18.0
24.0;538.0;35.0;0.0;6.0
8.0;39.0;133.0;0.0;0.0
0.0;0.0;0.0;288.0;0.0
20.0;8.0;1.0;0.0;75.0
