bike;car;pt;ride;walk
482.0;148.0;53.0;0.0;88.0
109.0;2586.0;239.0;0.0;34.0
36.0;179.0;589.0;0.0;3.0
0.0;0.0;0.0;1437.0;0.0
106.0;43.0;14.0;0.0;412.0
