bike;car;pt;ride;walk
91.0;28.0;8.0;0.0;16.0
18.0;520.0;53.0;0.0;12.0
7.0;35.0;136.0;0.0;2.0
0.0;0.0;0.0;288.0;0.0
24.0;6.0;2.0;0.0;72.0
