bike;car;pt;ride;walk
113.0;25.0;13.0;0.0;21.0
29.0;561.0;67.0;0.0;6.0
8.0;36.0;132.0;0.0;5.0
0.0;0.0;0.0;311.0;0.0
26.0;11.0;1.0;0.0;102.0
