bike;car;pt;ride;walk
473.0;142.0;59.0;0.0;98.0
102.0;2564.0;270.0;0.0;32.0
33.0;160.0;602.0;0.0;12.0
0.0;0.0;0.0;1437.0;0.0
113.0;43.0;14.0;0.0;406.0
