star facility; end facility; occurrences
tramFacility_7;tramFacility_4;73
tramFacility_6;tramFacility_4;22
tramFacility_7;tramFacility_5;46
tramFacility_6;tramFacility_5;13
tramFacility_7;tramFacility_6;8
tramFacility_5;tramFacility_4;37
tramFacility_6;tramFacility_7;8
tramFacility_5;tramFacility_6;15
tramFacility_4;tramFacility_5;33
tramFacility_5;tramFacility_7;50
tramFacility_4;tramFacility_6;32
tramFacility_4;tramFacility_7;75
