bike;car;pt;ride;walk
119.0;26.0;11.0;0.0;16.0
26.0;568.0;62.0;0.0;8.0
7.0;36.0;134.0;0.0;4.0
0.0;0.0;0.0;311.0;0.0
32.0;14.0;4.0;0.0;89.0
