bike;car;pt;ride;walk
495.0;140.0;54.0;0.0;82.0
77.0;2614.0;245.0;0.0;33.0
34.0;148.0;615.0;0.0;10.0
0.0;0.0;0.0;1437.0;0.0
113.0;43.0;16.0;0.0;403.0
